都道府県,地域名,0_常住地による人口（夜間人口）,001_従業も通学もしていない,002_自市区町村で従業・通学,0021_自宅で従業,0022_自宅外の自市区町村で従業・通学,003_他市区町村で従業・通学,0031_自市内他区で従業・通学,0032_県内他市町村で従業・通学,0033_他県で従業・通学,0034_従業・通学市区町村「不詳・外国」,004_従業地・通学地「不詳」,0R1_（再掲）流出人口,1_従業地・通学地による人口（昼間人口）,101_うち他市区町村に常住,1011_自市内他区に常住,1012_県内他市町村に常住,1013_他県に常住,102_うち従業地・通学地「不詳」又は従業・通学市区町村「不詳・外国」で当地に常住している者,1R1_（再掲）流入人口,
北海道,浦河町,12074,4453,7077,1189,5888,505,0,464,0,41,39,464,12416,806,0,798,8,80,806,102.83253
北海道,様似町,4043,1577,1949,528,1421,505,0,500,1,4,12,501,3792,250,0,248,2,16,250,93.79174
北海道,えりも町,4374,1308,2888,1156,1732,119,0,111,2,6,59,113,4364,103,0,102,1,65,103,99.77138
北海道,新ひだか町,21517,8288,11329,1961,9368,1089,0,1055,14,20,811,1069,21656,1208,0,1203,5,831,1208,100.646
北海道,音更町,43576,14804,14986,2808,12178,10727,0,10605,31,91,3059,10636,37310,4370,0,4369,1,3150,4370,85.62053
北海道,士幌町,5848,1820,3248,1165,2083,588,0,573,4,11,192,577,6509,1238,0,1237,1,203,1238,111.30301
北海道,上士幌町,4778,1570,2515,623,1892,359,0,339,8,12,334,347,5047,616,0,615,1,346,616,105.62997
北海道,鹿追町,5266,1624,2998,763,2235,437,0,424,4,9,207,428,5316,478,0,474,4,216,478,100.94949
北海道,新得町,5817,2120,2993,482,2511,502,0,487,3,12,202,490,5922,595,0,595,0,214,595,101.80505
北海道,清水町,9094,3249,4546,1158,3388,873,0,856,1,16,426,857,9416,1179,0,1179,0,442,1179,103.5408
北海道,芽室町,18048,5408,7426,2143,5283,3952,0,3863,15,74,1262,3878,18402,4232,0,4228,4,1336,4232,101.96144
北海道,中札内村,3884,1180,2056,497,1559,521,0,505,3,13,127,508,4207,831,0,831,0,140,831,108.31617
北海道,更別村,3080,867,1769,746,1023,358,0,353,1,4,86,354,3135,409,0,406,3,90,409,101.78571
北海道,大樹町,5420,1880,3222,599,2623,301,0,296,3,2,17,299,5683,562,0,559,3,19,562,104.8524
北海道,広尾町,6387,2256,3475,695,2780,291,0,280,4,7,365,284,6309,206,0,201,5,372,206,98.77877
北海道,幕別町,25766,9014,8634,1929,6705,6752,0,6644,13,95,1366,6657,22033,2924,0,2920,4,1461,2924,85.51191
北海道,池田町,6294,2594,2775,791,1984,837,0,829,2,6,88,831,6137,674,0,674,0,94,674,97.50556
北海道,豊頃町,3022,1136,1609,571,1038,255,0,239,2,14,22,241,3116,335,0,333,2,36,335,103.11052
北海道,本別町,6618,2542,3582,877,2705,387,0,372,3,12,107,375,6771,528,0,527,1,119,528,102.31188
北海道,足寄町,6563,2446,3669,820,2849,300,0,297,0,3,148,297,6682,416,0,410,6,151,416,101.8132
北海道,陸別町,2264,884,1298,228,1070,72,0,68,0,4,10,68,2314,118,0,117,1,14,118,102.20848
北海道,浦幌町,4387,1638,2446,681,1765,260,0,259,0,1,43,259,4482,354,0,353,1,44,354,102.16549
北海道,釧路町,19105,6748,6218,937,5281,4398,0,4333,23,42,1741,4356,17772,3023,0,3021,2,1783,3023,93.02277
北海道,厚岸町,8892,2876,5444,1456,3988,503,0,485,13,5,69,498,8788,394,0,393,1,74,394,98.83041
北海道,浜中町,5507,1353,3874,1749,2125,195,0,184,1,10,85,185,5596,274,0,269,5,95,274,101.61612
北海道,標茶町,7230,2452,4053,1053,3000,413,0,398,4,11,312,402,7299,471,0,468,3,323,471,100.95436
北海道,弟子屈町,6955,2572,3638,706,2932,245,0,229,6,10,500,235,7007,287,0,285,2,510,287,100.74766
北海道,鶴居村,2558,966,1206,294,912,316,0,308,7,1,70,315,2577,334,0,332,2,71,334,100.74277
北海道,白糠町,7289,3096,3049,444,2605,1127,0,1118,4,5,17,1122,7482,1315,0,1315,0,22,1315,102.64783
北海道,別海町,14380,4056,9070,2960,6110,606,0,590,6,10,648,596,15091,1307,0,1297,10,658,1307,104.94437
北海道,中標津町,23010,7214,13457,1745,11712,1686,0,1658,2,26,653,1660,22256,906,0,901,5,679,906,96.72316
北海道,標津町,5023,1613,2877,677,2200,418,0,403,2,13,115,405,5169,551,0,549,2,128,551,102.90663
北海道,羅臼町,4722,1337,3120,746,2374,76,0,65,0,11,189,65,4750,93,0,87,6,200,93,100.59297
青森県,青森県,1237984,449861,578170,88914,489256,137201,0,128097,7183,1921,72752,7183,1236753,134049,0,128097,5952,74673,5952,99.90056
青森県,青森市,275192,102192,143733,10964,132769,9133,0,7875,996,262,20134,8871,278910,12589,0,11911,678,20396,12589,101.35106
青森県,弘前市,168466,54121,85228,13701,71527,11980,0,10930,696,354,17137,11626,179790,22950,0,22238,712,17491,22950,106.72183
青森県,八戸市,223415,82987,117163,7899,109264,10522,0,8245,2030,247,12743,10275,233149,20009,0,17162,2847,12990,20009,104.35691
青森県,黒石市,31946,11639,12198,3039,9159,7525,0,7338,123,64,584,7461,29842,5357,0,5325,32,648,5357,93.41389
青森県,五所川原市,51415,20057,21715,4307,17408,7146,0,6809,251,86,2497,7060,52374,8019,0,7970,49,2583,8019,101.86521
青森県,十和田市,60378,20468,29018,4290,24728,6224,0,5884,230,110,4668,6114,60654,6390,0,6209,181,4778,6390,100.45712
青森県,三沢市,39152,12697,16779,1802,14977,6220,0,5996,165,59,3456,6161,40284,7293,0,7176,117,3515,7293,102.8913
青森県,むつ市,54103,21128,26721,2237,24484,2778,0,2505,205,68,3476,2710,52910,1517,0,1439,78,3544,1517,97.79495
青森県,つがる市,30934,11382,12655,4928,7727,5410,0,5270,60,80,1487,5330,29188,3584,0,3564,20,1567,3584,94.35573
青森県,平川市,30567,11061,10774,4014,6760,8306,0,8134,151,21,426,8285,27224,4942,0,4913,29,447,4942,89.06337
青森県,平内町,10126,3900,4334,1485,2849,1637,0,1596,29,12,255,1625,9147,646,0,642,4,267,646,90.33182
青森県,今別町,2334,1270,789,202,587,248,0,221,23,4,27,244,2311,221,0,210,11,31,221,99.01457
青森県,蓬田村,2540,1042,910,382,528,584,0,583,0,1,4,583,2278,321,0,321,0,5,321,89.68504
青森県,外ヶ浜町,5401,2686,2015,574,1441,625,0,602,17,6,75,619,5322,540,0,539,1,81,540,98.53731
青森県,鰺ヶ沢町,9044,4126,3525,1048,2477,1348,0,1278,58,12,45,1336,8602,894,0,892,2,57,894,95.11278
